Date,Time,Carrier,X_Pos,Y_Pos,Data1,Data2,H_Avg,I_Avg,J_L,K_a,L_b,M_L,N_a,O_b
2020-11-20,13:41:13,63,1320,1010,10,0,4.9545,0.9479,24.24,1.71,-2.96,98.28,-0.25,0.5
2020-11-20,13:41:17,63,1320,1205,12,2,4.9657,0.9477,24.22,1.82,-3.45,98.28,-0.26,0.57
2020-11-20,13:42:24,3,1320,165,2,0,4.9868,0.9479,24.22,1.77,-3.47,98.3,-0.25,0.58
2020-11-20,13:42:33,3,1320,590,6,0,4.9973,0.9475,24.21,1.8,-3.39,98.29,-0.27,0.58
2020-11-20,13:42:42,3,1320,1010,10,0,4.9731,0.9476,24.22,1.71,-2.94,98.28,-0.25,0.52
2020-11-20,13:42:46,3,1320,1205,12,2,5.0001,0.9472,24.21,1.83,-3.49,98.28,-0.26,0.59
2020-11-20,13:43:54,12,1320,165,2,0,4.9644,0.9482,24.2,1.75,-3.38,98.3,-0.25,0.56
2020-11-20,13:44:03,12,1320,590,6,0,4.9669,0.948,24.22,1.72,-3.16,98.29,-0.25,0.54
2020-11-20,13:44:12,12,1320,1010,10,0,4.9352,0.948,24.25,1.62,-2.76,98.28,-0.24,0.48
2020-11-20,13:44:17,12,1320,1205,12,2,4.9721,0.9475,24.22,1.77,-3.29,98.28,-0.25,0.56
2020-11-20,13:45:23,33,1320,165,2,0,4.9554,0.9483,24.19,1.73,-3.47,98.3,-0.25,0.57
2020-11-20,13:45:32,33,1320,590,6,0,4.9874,0.9478,24.21,1.78,-3.33,98.3,-0.26,0.57
2020-11-20,13:45:41,33,1320,1010,10,0,4.9726,0.9476,24.22,1.72,-2.93,98.28,-0.25,0.51
